,station,general,morning.peak,afternoon.peak
1,P+R Uithof,0,0,0
2,WKZ,0.00143747,0,0.00305499
3,UMC,0.000338226,0.000642275,0.000179395
4,Heidelberglaan,4.337218758e-05,5.481189203e-05,9.4822e-06
5,Padualaan,0.018402118,0.19169781,0.000681801
6,Kromme Rijn,0.001572231,0.001543533,0.000750849
7,Galgenwaard,0.013160988,0.039547378,0.009020428
8,Vaartsche Rijn,0.026607992,0.084536474,0.030002259
9,Utrecht Centraal,1,1,1
