file,q,freq,tramcnt,delay,punctuality,serviced,congestion,highLatenessTrams,total_waiting_time
input-data-passengers-025,300,180,1,46308,371293,1905,0,1,1391.65417782073
input-data-passengers-025,300,180,2,89400,366904,1962,0,2,1167.00158389628
input-data-passengers-025,300,180,3,126340,405120,2240,0,3,1989.93077362809
input-data-passengers-025,300,180,4,158458,478194,2641,0,4,1651.3613951091
input-data-passengers-025,300,180,5,190420,535140,3068,0,5,1198.08209913997
input-data-passengers-025,300,180,6,253340,555490,3143,0,6,1669.80248288849
input-data-passengers-025,300,180,7,143700,412970,3106,0,7,1102.89611376875
input-data-passengers-025,300,180,8,143615,370243,3055,0,8,916.368339851742
input-data-passengers-025,300,180,9,143614,328227,3087,0,9,964.367039575393
input-data-passengers-025,300,180,10,144717,287746,2994,0,10,756.266670898496
input-data-passengers-025,300,180,11,144521,259603,3085,0,11,766.567492338201
input-data-passengers-025,300,180,12,144714,258608,3147,0,12,705.316515361009
input-data-passengers-025,300,180,13,144713,258610,3119,0,13,771.596202688375
input-data-passengers-025,300,180,14,144714,258608,3151,0,14,752.294545919685
input-data-passengers-025,300,180,15,144714,258613,3088,0,15,769.815616147384
input-data-passengers-025,300,180,16,144717,258609,3151,0,16,778.359099307186
input-data-passengers-025,300,180,17,144718,258611,3092,0,17,767.913570818303
input-data-passengers-025,300,180,18,144710,258612,3075,0,18,754.667556704943
input-data-passengers-025,300,180,19,144716,258604,3147,0,19,781.287436077469
input-data-passengers-025,300,180,20,144713,258608,3155,0,20,802.080496146632
input-data-passengers-025,300,360,1,0,260454,1621,0,1,1613.15556643045
input-data-passengers-025,300,360,2,0,207739,1664,0,2,1461.44320520529
input-data-passengers-025,300,360,3,0,159153,1599,0,3,1608.0767134989
input-data-passengers-025,300,360,4,27,115776,1635,0,4,1653.16679440492
input-data-passengers-025,300,360,5,27,93840,1651,0,5,1531.49203575975
input-data-passengers-025,300,360,6,26,93844,1633,0,6,1538.69351662234
input-data-passengers-025,300,360,7,28,93839,1682,0,7,1504.30491487544
input-data-passengers-025,300,360,8,28,93842,1626,0,8,1523.49720475917
input-data-passengers-025,300,360,9,28,93841,1617,0,9,1532.88728849467
input-data-passengers-025,300,360,10,28,93843,1623,0,10,1596.29932807142
input-data-passengers-025,300,360,11,28,93841,1582,0,11,1522.84505384657
