q;freq;tramcnt;delay,punctuality,serviced,congestion,highLatenessTrams,total_waiting_time
150;90;1;52736;330640;10854;0;1;NaN
180;90;1;52736;340155;10808;0;1;NaN
210;90;1;52737;349709;11058;0;1;NaN
240;90;1;52737;359171;10799;0;1;NaN
270;90;1;52736;368687;10736;0;1;NaN
300;90;1;52737;378198;10772;0;1;NaN
150;90;2;96457;327699;10769;0;2;NaN
180;90;2;96458;337052;10784;0;2;NaN
210;90;2;96458;346354;11056;0;2;NaN
240;90;2;96458;355696;10809;0;2;NaN
270;90;2;96459;365042;10729;0;2;NaN
300;90;2;96459;374384;10953;0;2;NaN
150;90;3;135469;364408;12353;0;3;NaN
180;90;3;135470;374849;12415;0;3;NaN
210;90;3;135470;385280;12178;0;3;NaN
240;90;3;135478;395696;12076;0;3;NaN
270;90;3;135470;406185;12340;0;3;NaN
300;90;3;135470;416585;12263;0;3;NaN
150;90;4;170316;428313;14759;0;4;NaN
180;90;4;170361;440904;14900;0;4;NaN
210;90;4;170360;453438;14741;0;4;NaN
240;90;4;170360;465923;14575;0;4;NaN
270;90;4;170301;478479;14929;0;4;NaN
300;90;4;170288;490950;14950;0;4;NaN
150;90;5;219107;494738;16683;0;5;NaN
180;90;5;219244;509178;16888;0;5;NaN
210;90;5;218991;523279;17110;0;5;NaN
240;90;5;219104;537752;16952;0;5;NaN
270;90;5;219108;552100;17050;0;5;NaN
300;90;5;219186;566525;17084;0;5;NaN
150;90;6;303601;538170;16891;0;6;NaN
180;90;6;303673;552751;17043;0;6;NaN
210;90;6;302972;566388;17129;0;6;NaN
240;90;6;302910;580818;17199;0;6;NaN
270;90;6;302946;595282;17108;0;6;NaN
300;90;6;302947;609766;16999;0;6;NaN
150;90;7;277130;531594;19285;0;7;NaN
180;90;7;276294;546763;19354;0;7;NaN
210;90;7;276394;563286;19107;0;7;NaN
240;90;7;276886;580035;18784;0;7;NaN
270;90;7;276307;596003;19430;0;7;NaN
300;90;7;276956;611350;19478;0;7;NaN
150;90;8;319241;530846;19194;0;8;NaN
180;90;8;319156;546908;19439;0;8;NaN
210;90;8;319182;563333;19255;0;8;NaN
240;90;8;319360;579601;19250;0;8;NaN
270;90;8;319074;595635;19400;0;8;NaN
300;90;8;319383;612063;19217;0;8;NaN
150;90;9;361702;531308;19370;0;9;NaN
180;90;9;361878;547873;19156;0;9;NaN
210;90;9;361665;563825;19346;0;9;NaN
240;90;9;361707;580223;19239;0;9;NaN
270;90;9;361938;596800;19086;0;9;NaN
300;90;9;361901;613004;19022;0;9;NaN
150;90;10;404216;531721;19380;0;10;NaN
180;90;10;404644;548577;19512;0;10;NaN
210;90;10;404272;564468;19561;0;10;NaN
240;90;10;404591;580927;19355;0;10;NaN
270;90;10;404591;597273;19361;0;10;NaN
300;90;10;404616;613598;19056;0;10;NaN
150;90;11;440872;567276;20811;0;11;NaN
180;90;11;441247;585174;20676;0;11;NaN
210;90;11;440107;602480;20747;0;11;NaN
240;90;11;440346;619078;21034;0;11;NaN
270;90;11;440588;633940;20572;0;11;NaN
300;90;11;440773;656907;20796;0;11;NaN
150;90;12;474319;608476;22247;0;12;NaN
180;90;12;474502;627674;22559;0;12;NaN
210;90;12;474908;647284;22330;0;12;NaN
240;90;12;474106;665543;22354;0;12;NaN
270;90;12;475281;685050;22543;0;12;NaN
300;90;12;475190;702983;22494;0;12;NaN
150;90;13;506709;644478;23681;0;13;NaN
180;90;13;509611;666335;23753;0;13;NaN
210;90;13;504806;682703;24381;0;13;NaN
240;90;13;509795;707979;24039;0;13;NaN
270;90;13;507147;725355;23992;0;13;NaN
300;90;13;508801;746977;23801;0;13;NaN
150;90;14;535157;680828;25743;0;14;NaN
180;90;14;536296;705185;25521;0;14;NaN
210;90;14;538417;725783;25498;0;14;NaN
240;90;14;536484;746168;25824;0;14;NaN
270;90;14;532500;765127;25840;0;14;NaN
300;90;14;538141;792714;25673;0;14;NaN
150;90;15;563966;713924;27138;0;15;NaN
180;90;15;562719;738552;26887;0;15;NaN
210;90;15;568545;769050;27717;0;15;NaN
240;90;15;568422;791295;27082;0;15;NaN
270;90;15;568745;812738;27322;0;15;NaN
300;90;15;564760;832246;27330;0;15;NaN
150;90;16;589138;749654;29300;0;16;NaN
180;90;16;580732;765602;28881;0;16;NaN
210;90;16;581839;792211;29836;0;16;NaN
240;90;16;591516;827433;28972;0;16;NaN
270;90;16;584295;843746;28650;0;16;NaN
300;90;16;583390;866802;29062;0;16;NaN
150;90;17;607533;777061;30692;0;17;NaN
180;90;17;594370;789266;30775;0;17;NaN
210;90;17;609837;829340;30592;0;17;NaN
240;90;17;602463;848976;30972;0;17;NaN
270;90;17;596405;870224;30890;0;17;NaN
300;90;17;601305;897063;30544;0;17;NaN
150;90;18;594620;770833;32544;0;18;NaN
180;90;18;594171;797671;32031;0;18;NaN
210;90;18;597843;829933;32471;0;18;NaN
240;90;18;592737;851065;32322;0;18;NaN
270;90;18;600229;887579;32657;0;18;NaN
300;90;18;587105;900780;32125;0;18;NaN
150;90;19;365613;547177;34169;0;19;NaN
180;90;19;320856;533272;34319;0;19;NaN
210;90;19;309824;553522;34086;0;19;NaN
240;90;19;328569;597563;34029;0;19;NaN
270;90;19;343316;640891;34567;0;19;NaN
300;90;19;341025;667426;34152;0;19;NaN
150;90;20;324694;470472;34114;0;20;NaN
180;90;20;303081;477117;34513;0;20;NaN
210;90;20;320571;523627;34131;0;20;NaN
240;90;20;309922;541813;34478;0;20;NaN
270;90;20;296725;558042;34312;0;20;NaN
