file,q,freq,tramcnt,delay,punctuality,serviced,congestion,highLatenessTrams,total_waiting_time
input-data-passengers-06,240,90,13,506614,706542,4336,0,13,592.419240918335
input-data-passengers-06,270,90,13,507612,728737,4273,0,13,754.012183247583
input-data-passengers-06,300,90,13,508509,749085,4394,0,13,666.84733755465
input-data-passengers-06,150,90,14,536804,682646,4585,0,14,645.036645864441
input-data-passengers-06,180,90,14,540356,707215,4692,0,14,680.716979641616
input-data-passengers-06,210,90,14,537231,728355,4679,0,14,732.864008250503
input-data-passengers-06,240,90,14,537077,748602,4565,0,14,738.186712206065
input-data-passengers-06,270,90,14,538669,773520,4597,0,14,658.495309086546
input-data-passengers-06,300,90,14,536305,792355,4536,0,14,795.043636718629
input-data-passengers-06,150,90,15,562282,716702,4859,0,15,629.631947094024
input-data-passengers-06,180,90,15,568862,745694,4939,0,15,695.403294975828
input-data-passengers-06,210,90,15,563884,762072,4860,0,15,642.645395024644
input-data-passengers-06,240,90,15,565851,788510,5063,0,15,688.276734536312
input-data-passengers-06,270,90,15,569530,814717,4990,0,15,662.14050888587
input-data-passengers-06,300,90,15,566526,836608,4938,0,15,714.907780483573
input-data-passengers-06,150,90,16,587472,748423,5229,0,16,629.209423744033
input-data-passengers-06,180,90,16,587894,772902,5219,0,16,560.730135850262
input-data-passengers-06,210,90,16,589014,799274,5214,0,16,544.789631563442
input-data-passengers-06,240,90,16,584047,819238,5214,0,16,549.531602543008
input-data-passengers-06,270,90,16,591016,850309,5294,0,16,596.861984020297
input-data-passengers-06,300,90,16,594722,879263,5184,0,16,615.751622200752
input-data-passengers-06,150,90,17,603444,772591,5612,0,17,610.52479798975
input-data-passengers-06,180,90,17,601571,796009,5492,0,17,511.515668838588
input-data-passengers-06,210,90,17,606218,825729,5540,0,17,586.276715122777
input-data-passengers-06,240,90,17,592305,839639,5471,0,17,580.68945736396
input-data-passengers-06,270,90,17,576482,849262,5430,0,17,510.730605406157
input-data-passengers-06,300,90,17,601975,902612,5492,0,17,664.694259597409
input-data-passengers-06,150,90,18,599398,775949,5730,0,18,603.811815040128
input-data-passengers-06,180,90,18,590050,793631,5758,0,18,640.88155577591
input-data-passengers-06,210,90,18,595148,826200,5648,0,18,521.009302486626
input-data-passengers-06,240,90,18,600489,860706,5802,0,18,526.756542547952
input-data-passengers-06,270,90,18,605694,892807,5741,0,18,581.183396760678
input-data-passengers-06,300,90,18,594774,910525,5768,0,18,524.463821048395
input-data-passengers-06,150,90,19,328352,509752,6266,0,19,524.217444580807
input-data-passengers-06,180,90,19,313777,524317,6152,0,19,469.106889602126
input-data-passengers-06,210,90,19,363070,600714,6237,0,19,582.72855526906
input-data-passengers-06,240,90,19,313879,582855,6086,0,19,519.21277862669
input-data-passengers-06,270,90,19,320574,617897,6058,0,19,433.479387229791
input-data-passengers-06,300,90,19,339804,667331,5993,0,19,505.785800062026
input-data-passengers-06,150,90,20,319951,463742,6057,0,20,427.499579302903
input-data-passengers-06,180,90,20,329892,502517,6040,0,20,402.938848025556
input-data-passengers-06,210,90,20,317541,518632,6147,0,20,455.175448001483
input-data-passengers-06,240,90,20,318932,548813,6043,0,20,397.505346811264
input-data-passengers-06,270,90,20,300215,558798,6182,0,20,387.883974830557
input-data-passengers-06,300,90,20,332613,619266,6034,0,20,438.894110799965
input-data-passengers-06,150,120,1,50337,327781,1962,0,1,1860.6228339718
input-data-passengers-06,180,120,1,50337,337285,1877,0,1,1313.99946429306
input-data-passengers-06,210,120,1,50337,346795,1970,0,1,1610.30260818133
input-data-passengers-06,240,120,1,50337,356305,1921,0,1,1957.69025683471
input-data-passengers-06,270,120,1,50337,365807,1964,0,1,1393.82328726963
input-data-passengers-06,300,120,1,50337,375328,1946,0,1,2287.2178430687
input-data-passengers-06,150,120,2,94029,324807,1870,0,2,1796.77191475262
input-data-passengers-06,180,120,2,94029,334148,2003,0,2,1858.60740114021
input-data-passengers-06,210,120,2,94029,343462,1959,0,2,1358.0326036317
input-data-passengers-06,240,120,2,94029,352815,1986,0,2,1568.48315900935
input-data-passengers-06,270,120,2,94029,362169,1975,0,2,1226.1976037281
input-data-passengers-06,300,120,2,94029,371538,2007,0,2,1764.47978594205
input-data-passengers-06,150,120,3,130553,358964,2195,0,3,1700.97110997437
input-data-passengers-06,180,120,3,130553,369408,2213,0,3,1738.74096399684
input-data-passengers-06,210,120,3,130553,379847,2225,0,3,1810.13438856683
input-data-passengers-06,240,120,3,130553,390295,2235,0,3,1952.41697001288
input-data-passengers-06,270,120,3,130553,400714,2138,0,3,2061.26527717366
input-data-passengers-06,300,120,3,130553,411167,2256,0,3,1742.44472651222
input-data-passengers-06,150,120,4,161357,418720,2573,0,4,1412.47041142489
input-data-passengers-06,180,120,4,161357,431274,2635,0,4,1516.97905999814
input-data-passengers-06,210,120,4,161357,443810,2614,0,4,1762.90170299992
input-data-passengers-06,240,120,4,161357,456337,2624,0,4,1449.02938840062
input-data-passengers-06,270,120,4,161357,468873,2581,0,4,1172.33198344563
input-data-passengers-06,300,120,4,161357,481429,2753,0,4,1483.13217379197
input-data-passengers-06,150,120,5,199171,467110,2968,0,5,1494.28765953445
input-data-passengers-06,180,120,5,199246,481500,2985,0,5,839.894067407403
input-data-passengers-06,210,120,5,199220,495783,3064,0,5,1350.48500716182
input-data-passengers-06,240,120,5,199224,510088,3036,0,5,1116.2741045657
input-data-passengers-06,270,120,5,199221,524405,2976,0,5,1776.69121272678
input-data-passengers-06,300,120,5,199225,538721,3016,0,5,952.998109549961
input-data-passengers-06,150,120,6,283697,508767,3044,0,6,1418.60525149141
input-data-passengers-06,180,120,6,283720,523142,3101,0,6,1023.60015311636
input-data-passengers-06,210,120,6,283694,537482,2997,0,6,1139.09382173554
input-data-passengers-06,240,120,6,283695,551852,3107,0,6,1346.55583608127
input-data-passengers-06,270,120,6,283697,566222,3078,0,6,753.996350752122
input-data-passengers-06,300,120,6,283327,580238,3063,0,6,1619.84970325531
input-data-passengers-06,150,120,7,265084,516370,3519,0,7,1214.18043612852
input-data-passengers-06,180,120,7,265110,532683,3366,0,7,1097.63595279292
input-data-passengers-06,210,120,7,265083,549006,3369,0,7,663.796132407919
input-data-passengers-06,240,120,7,265083,565323,3325,0,7,1047.6082707697
input-data-passengers-06,270,120,7,265083,581653,3467,0,7,1015.03251001278
input-data-passengers-06,300,120,7,265113,598018,3431,0,7,1242.7758952887
input-data-passengers-06,150,120,8,306536,515438,3465,0,8,702.016183012613
input-data-passengers-06,180,120,8,306561,531590,3381,0,8,720.31968582756
input-data-passengers-06,210,120,8,306535,547749,3418,0,8,875.14233731458
input-data-passengers-06,240,120,8,307200,564594,3390,0,8,1003.17626594348
input-data-passengers-06,270,120,8,306537,580123,3443,0,8,720.654210340647
input-data-passengers-06,300,120,8,306559,596268,3372,0,8,729.077956310649
input-data-passengers-06,150,120,9,347095,513486,3396,0,9,904.917178877015
input-data-passengers-06,180,120,9,347124,529703,3491,0,9,875.651680471032
input-data-passengers-06,210,120,9,347095,545905,3518,0,9,967.659442720786
input-data-passengers-06,240,120,9,347096,562099,3495,0,9,747.879945923843
input-data-passengers-06,270,120,9,347096,578284,3502,0,9,786.481449059574
input-data-passengers-06,300,120,9,347120,594502,3417,0,9,844.322658117724
input-data-passengers-06,150,120,10,389107,514165,3460,0,10,738.438740913087
input-data-passengers-06,180,120,10,389136,530446,3438,0,10,804.037093720279
input-data-passengers-06,210,120,10,389108,546752,3358,0,10,773.217674547697
input-data-passengers-06,240,120,10,389108,563039,3517,0,10,762.451543408008
input-data-passengers-06,270,120,10,389109,579334,3448,0,10,767.718193187813
input-data-passengers-06,300,120,10,389136,595601,3463,0,10,853.958812176477
input-data-passengers-06,150,120,11,414320,541290,3662,0,11,749.930767731805
input-data-passengers-06,180,120,11,414125,558687,3681,0,11,736.799211454518
input-data-passengers-06,210,120,11,419723,580510,3689,0,11,787.472718202077
input-data-passengers-06,240,120,11,414094,593782,3745,0,11,757.514437431945
input-data-passengers-06,270,120,11,414475,611813,3770,0,11,734.360829736831
input-data-passengers-06,300,120,11,416060,630096,3613,0,11,709.456566798741
input-data-passengers-06,150,120,12,442267,572874,3959,0,12,745.339401396305
input-data-passengers-06,180,120,12,440016,589761,3991,0,12,722.046329066545
input-data-passengers-06,210,120,12,441525,610110,3995,0,12,803.14844889342
input-data-passengers-06,240,120,12,440751,628335,3999,0,12,858.545265395443
input-data-passengers-06,270,120,12,440750,647261,3963,0,12,788.884564045469
