Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,260.699701492537,1675
Vaartsche Rijn,1,98.9919163100333,4206
Galgenwaard,2,136.811263318113,2628
Kromme Rijn,3,129.958974358974,390
Padualaan,4,142.828685258964,502
Heidelberglaan,5,156.583333333333,672
UMC,6,167.181818181818,99
WKZ,7,130.604823747681,539
P+R De Uithof,8,10.6666666666667,3
WKZ,9,116.833333333333,6
UMC,10,148.684210526316,19
Heidelberglaan,11,167.27027027027,74
Padualaan,12,126.860759493671,158
Kromme Rijn,13,130.330275229358,218
Galgenwaard,14,138.902654867257,113
Vaartsche Rijn,15,156.444943820225,445
Depot,-1,NaN,0
