Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,106.309602044542,2739
Vaartsche Rijn,1,88.7259324782545,6783
Galgenwaard,2,90.2487491065046,4197
Kromme Rijn,3,84.3145400593472,674
Padualaan,4,85.7802746566792,801
Heidelberglaan,5,92.712511938873,1047
UMC,6,109.96178343949,157
WKZ,7,77.1923868312757,972
P+R De Uithof,8,92,3
WKZ,9,71.2,15
UMC,10,76.6363636363636,44
Heidelberglaan,11,75.6510067114094,149
Padualaan,12,76.8965517241379,290
Kromme Rijn,13,82.2362459546926,309
Galgenwaard,14,92.0778443113772,167
Vaartsche Rijn,15,84.7717391304348,736
Depot,-1,NaN,0
