Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,77.3805191923674,4507
Vaartsche Rijn,1,79.0369585253456,10850
Galgenwaard,2,74.5508777149658,6722
Kromme Rijn,3,64.130081300813,1107
Padualaan,4,67.3547854785479,1212
Heidelberglaan,5,59.9582366589327,1724
UMC,6,70.3544776119403,268
WKZ,7,47.7227332457293,1522
P+R De Uithof,8,55.3333333333333,3
WKZ,9,56.8571428571429,28
UMC,10,59.1636363636364,55
Heidelberglaan,11,63.8840579710145,207
Padualaan,12,65.4084210526316,475
Kromme Rijn,13,59.9129511677282,471
Galgenwaard,14,60.04,275
Vaartsche Rijn,15,66.3291592128801,1118
Depot,-1,NaN,0
