Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,408.008258774948,1453
Vaartsche Rijn,1,154.179714823783,3717
Galgenwaard,2,153.545726495726,2340
Kromme Rijn,3,162.336111111111,360
Padualaan,4,156.342657342657,429
Heidelberglaan,5,168.657364341085,645
UMC,6,174.698630136986,73
WKZ,7,152.990723562152,539
P+R De Uithof,8,0,1
WKZ,9,137.3,10
UMC,10,175.684210526316,19
Heidelberglaan,11,151.808219178082,73
Padualaan,12,154.005494505495,182
Kromme Rijn,13,165.585987261146,157
Galgenwaard,14,151.650485436893,103
Vaartsche Rijn,15,176.145539906103,426
Depot,-1,NaN,0
