Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,89.876989869754,3455
Vaartsche Rijn,1,88.5209026128266,8420
Galgenwaard,2,84.9356992940279,5241
Kromme Rijn,3,79.2864077669903,824
Padualaan,4,72.7112244897959,980
Heidelberglaan,5,74.5744837758112,1356
UMC,6,105.948453608247,194
WKZ,7,66.3484978540773,1165
P+R De Uithof,8,82.6666666666667,3
WKZ,9,80.2777777777778,18
UMC,10,78.6140350877193,57
Heidelberglaan,11,85.6174496644295,149
Padualaan,12,73.2053333333333,375
Kromme Rijn,13,72.0626702997275,367
Galgenwaard,14,79.1831683168317,202
Vaartsche Rijn,15,76.5657142857143,875
Depot,-1,NaN,0
