Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,105.470781592403,2738
Vaartsche Rijn,1,90.5694690265487,6780
Galgenwaard,2,89.0228479113778,4333
Kromme Rijn,3,81.6666666666667,669
Padualaan,4,91.724183006536,765
Heidelberglaan,5,94.1319890009166,1091
UMC,6,106.141104294479,163
WKZ,7,80.7922222222222,900
P+R De Uithof,8,234.5,4
WKZ,9,75.3333333333333,12
UMC,10,79.2,45
Heidelberglaan,11,82.0285714285714,140
Padualaan,12,86.1794871794872,312
Kromme Rijn,13,82.863768115942,345
Galgenwaard,14,84.5028248587571,177
Vaartsche Rijn,15,91.5186206896552,725
Depot,-1,NaN,0
