Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,204.32672332389,2118
Vaartsche Rijn,1,93.7902712815716,5345
Galgenwaard,2,109.963375329622,3413
Kromme Rijn,3,104.645640074211,539
Padualaan,4,106.494522691706,639
Heidelberglaan,5,119.521957340025,797
UMC,6,129.828125,128
WKZ,7,103.877169559413,749
P+R De Uithof,8,3,1
WKZ,9,63.5714285714286,7
UMC,10,107,23
Heidelberglaan,11,114.150537634409,93
Padualaan,12,117.816239316239,234
Kromme Rijn,13,105.389763779528,254
Galgenwaard,14,106.819672131148,122
Vaartsche Rijn,15,122.820143884892,556
Depot,-1,NaN,0
