Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,84.8932795698925,3720
Vaartsche Rijn,1,88.4172717271727,9090
Galgenwaard,2,89.0518609984124,5669
Kromme Rijn,3,79.5787139689579,902
Padualaan,4,81.2165242165242,1053
Heidelberglaan,5,80.8198713366691,1399
UMC,6,69.6113744075829,211
WKZ,7,64.7414205905826,1253
P+R De Uithof,8,52,3
WKZ,9,60.1578947368421,19
UMC,10,66.9259259259259,54
Heidelberglaan,11,73.2622950819672,183
Padualaan,12,73.1976470588235,425
Kromme Rijn,13,70.7487684729064,406
Galgenwaard,14,83.7758620689655,232
Vaartsche Rijn,15,74.7729257641921,916
Depot,-1,NaN,0
