Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,411.202510460251,1195
Vaartsche Rijn,1,198.769230769231,2951
Galgenwaard,2,203.813681868743,1798
Kromme Rijn,3,196.820422535211,284
Padualaan,4,206.69616519174,339
Heidelberglaan,5,222.626582278481,474
UMC,6,241.396825396825,63
WKZ,7,206.870503597122,417
P+R De Uithof,8,0,2
WKZ,9,115.5,2
UMC,10,138.631578947368,19
Heidelberglaan,11,180.338709677419,62
Padualaan,12,188.060606060606,132
Kromme Rijn,13,180.244444444444,135
Galgenwaard,14,204.805194805195,77
Vaartsche Rijn,15,224.938983050847,295
Depot,-1,NaN,0
