Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,119.702877989461,2467
Vaartsche Rijn,1,93.0073469387755,6125
Galgenwaard,2,96.0140588388441,3841
Kromme Rijn,3,95.0619902120718,613
Padualaan,4,93.2843537414966,735
Heidelberglaan,5,106.363247863248,936
UMC,6,115.435714285714,140
WKZ,7,88.5084745762712,826
P+R De Uithof,8,0,6
WKZ,9,111.571428571429,14
UMC,10,101.435897435897,39
Heidelberglaan,11,93.7641509433962,106
Padualaan,12,92.1423220973783,267
Kromme Rijn,13,88.6860465116279,258
Galgenwaard,14,91.6477987421384,159
Vaartsche Rijn,15,96.580204778157,586
Depot,-1,NaN,0
