Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,202.985915492958,1775
Vaartsche Rijn,1,93.6028783449516,4447
Galgenwaard,2,131.56826849733,2622
Kromme Rijn,3,135.34009009009,444
Padualaan,4,140.802707930368,517
Heidelberglaan,5,158.89201183432,676
UMC,6,123.875,104
WKZ,7,125.642248722317,587
P+R De Uithof,8,325.333333333333,3
WKZ,9,166.545454545455,11
UMC,10,121.36,25
Heidelberglaan,11,141.910256410256,78
Padualaan,12,151.653846153846,182
Kromme Rijn,13,131.741935483871,186
Galgenwaard,14,119.462264150943,106
Vaartsche Rijn,15,140.212058212058,481
Depot,-1,NaN,0
