Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,105.718981972428,2829
Vaartsche Rijn,1,90.2363423897166,6846
Galgenwaard,2,90.102358490566,4240
Kromme Rijn,3,88.0902578796562,698
Padualaan,4,85.8286445012788,782
Heidelberglaan,5,99.4912280701754,1140
UMC,6,92.2934131736527,167
WKZ,7,79.5643863179074,994
P+R De Uithof,8,27.5,2
WKZ,9,72.6923076923077,13
UMC,10,68.4583333333333,48
Heidelberglaan,11,82.4220183486239,109
Padualaan,12,81.5275862068966,290
Kromme Rijn,13,81.145896656535,329
Galgenwaard,14,80.625,192
Vaartsche Rijn,15,88.0817236255572,673
Depot,-1,NaN,0
