Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,264.760191846523,1668
Vaartsche Rijn,1,97.2526523562793,4053
Galgenwaard,2,136.550322825674,2633
Kromme Rijn,3,130.330166270784,421
Padualaan,4,146.986984815618,461
Heidelberglaan,5,158.029717682021,673
UMC,6,174.716049382716,81
WKZ,7,130.553264604811,582
P+R De Uithof,8,0,3
WKZ,9,124.75,8
UMC,10,120.368421052632,19
Heidelberglaan,11,140.577464788732,71
Padualaan,12,128.486033519553,179
Kromme Rijn,13,131.642105263158,190
Galgenwaard,14,135.533898305085,118
Vaartsche Rijn,15,151.621483375959,391
Depot,-1,NaN,0
