Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,413.057067603161,1139
Vaartsche Rijn,1,198.408826548067,2923
Galgenwaard,2,201.685684099313,1893
Kromme Rijn,3,202.207547169811,265
Padualaan,4,214.789915966387,357
Heidelberglaan,5,230.471172962227,503
UMC,6,228.135802469136,81
WKZ,7,188.617647058824,408
P+R De Uithof,8,0,2
WKZ,9,263.571428571429,7
UMC,10,187.375,16
Heidelberglaan,11,137.787234042553,47
Padualaan,12,211.440251572327,159
Kromme Rijn,13,176.602836879433,141
Galgenwaard,14,198.446808510638,94
Vaartsche Rijn,15,227.954268292683,328
Depot,-1,NaN,0
