Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,443.228775113415,1543
Vaartsche Rijn,1,94.8492042786329,3833
Galgenwaard,2,150.62726523888,2428
Kromme Rijn,3,149.927223719677,371
Padualaan,4,163.620985010707,467
Heidelberglaan,5,166.274542429285,601
UMC,6,195.727272727273,99
WKZ,7,146.117216117216,546
P+R De Uithof,8,448.333333333333,3
WKZ,9,160,6
UMC,10,144.904761904762,21
Heidelberglaan,11,146.721518987342,79
Padualaan,12,158.703703703704,162
Kromme Rijn,13,167.109375,192
Galgenwaard,14,149.310344827586,116
Vaartsche Rijn,15,166.806201550388,387
Depot,-1,NaN,0
