Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,407.17489539749,1195
Vaartsche Rijn,1,195.171659373948,2971
Galgenwaard,2,206.280151433207,1849
Kromme Rijn,3,200.152542372881,295
Padualaan,4,202.390625,320
Heidelberglaan,5,198.113333333333,450
UMC,6,204.441176470588,68
WKZ,7,211.244498777506,409
P+R De Uithof,8,0,2
WKZ,9,177.166666666667,6
UMC,10,180.947368421053,19
Heidelberglaan,11,187.36170212766,47
Padualaan,12,204.055944055944,143
Kromme Rijn,13,218.372262773723,137
Galgenwaard,14,209.985714285714,70
Vaartsche Rijn,15,217.545454545455,297
Depot,-1,NaN,0
