Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,409.962051282051,975
Vaartsche Rijn,1,243.191582639193,2281
Galgenwaard,2,253.382273342355,1478
Kromme Rijn,3,242.74358974359,234
Padualaan,4,255.020689655172,290
Heidelberglaan,5,248.539845758355,389
UMC,6,230.564102564103,39
WKZ,7,236.88643533123,317
P+R De Uithof,8,0,1
WKZ,9,207.6,5
UMC,10,200.736842105263,19
Heidelberglaan,11,246.829787234043,47
Padualaan,12,238.481481481481,108
Kromme Rijn,13,218.715596330275,109
Galgenwaard,14,216.932432432432,74
Vaartsche Rijn,15,248.505976095618,251
Depot,-1,NaN,0
