Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,102.854343807763,2705
Vaartsche Rijn,1,90.0581737849779,6790
Galgenwaard,2,87.488602348607,4343
Kromme Rijn,3,93.8251057827927,709
Padualaan,4,82.5025906735751,772
Heidelberglaan,5,91.4794651384909,1047
UMC,6,100.027586206897,145
WKZ,7,76.5855263157895,912
P+R De Uithof,8,134,2
WKZ,9,126.333333333333,6
UMC,10,68.7428571428571,35
Heidelberglaan,11,85.9274193548387,124
Padualaan,12,77.3979238754325,289
Kromme Rijn,13,92.4276094276094,297
Galgenwaard,14,71.5365853658537,164
Vaartsche Rijn,15,80.4860335195531,716
Depot,-1,NaN,0
