Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,122.4703125,2560
Vaartsche Rijn,1,92.3007105943152,6192
Galgenwaard,2,93.4971143756558,3812
Kromme Rijn,3,96.9057239057239,594
Padualaan,4,94.1112656467316,719
Heidelberglaan,5,98.1222104144527,941
UMC,6,117.421768707483,147
WKZ,7,86.8088235294118,816
P+R De Uithof,8,0,4
WKZ,9,81.3333333333333,15
UMC,10,109.15625,32
Heidelberglaan,11,84.1339285714286,112
Padualaan,12,95.1843971631206,282
Kromme Rijn,13,91.4785478547855,303
Galgenwaard,14,94.5686274509804,153
Vaartsche Rijn,15,107.560790273556,658
Depot,-1,NaN,0
