Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,260.354025814382,1627
Vaartsche Rijn,1,96.3764993880049,4085
Galgenwaard,2,137.471931137725,2672
Kromme Rijn,3,129.973871733967,421
Padualaan,4,138.674747474747,495
Heidelberglaan,5,156.936728395062,648
UMC,6,143.849462365591,93
WKZ,7,137.16404886562,573
P+R De Uithof,8,0,2
WKZ,9,154.857142857143,7
UMC,10,130.384615384615,26
Heidelberglaan,11,154.025316455696,79
Padualaan,12,146.628019323672,207
Kromme Rijn,13,136.862275449102,167
Galgenwaard,14,135.033898305085,118
Vaartsche Rijn,15,153.214285714286,406
Depot,-1,NaN,0
