Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,105.948091091762,2986
Vaartsche Rijn,1,88.798439359873,7561
Galgenwaard,2,90.8662111527441,4537
Kromme Rijn,3,86.1609353507565,727
Padualaan,4,87.6480637813212,878
Heidelberglaan,5,95.6943303204602,1217
UMC,6,101.668639053254,169
WKZ,7,72.9274770173647,979
P+R De Uithof,8,11.6666666666667,3
WKZ,9,58.3846153846154,13
UMC,10,61.5476190476191,42
Heidelberglaan,11,71.0152671755725,131
Padualaan,12,70.5886075949367,316
Kromme Rijn,13,72.7398119122257,319
Galgenwaard,14,79.2010869565217,184
Vaartsche Rijn,15,81.1133069828722,759
Depot,-1,NaN,0
